x,y,covariance
0.18,0.05,"[[ 2.98710270e-09 -6.32195622e-09] [-6.32195622e-09  3.93142010e-08]]"
0.18,-0.05,"[[ 1.54864283e-09 -1.17389138e-08] [-1.17389138e-08  1.61220231e-07]]"
0.18,0.1,"[[2.98518619e-09 6.86655953e-09] [6.86655953e-09 1.59545337e-08]]"
0.18,-0.1,"[[3.19464500e-09 7.70634221e-09] [7.70634221e-09 1.87551223e-08]]"
0.18,0.03,"[[ 2.19599840e-07 -3.56202679e-07] [-3.56202679e-07  1.19445133e-05]]"
0.18,-0.03,"[[ 2.43440522e-09 -1.34641711e-08] [-1.34641711e-08  7.49099197e-08]]"
0.18,0.12,"[[2.40529098e-09 5.49522713e-09] [5.49522713e-09 1.37615074e-08]]"
0.18,-0.12,"[[2.67517017e-09 3.72843972e-09] [3.72843972e-09 5.19719359e-09]]"
0.18,0.21,"[[6.93949401e-09 1.18932158e-08] [1.18932158e-08 2.03864032e-08]]"
0.18,-0.21,"[[ 5.20036254e-09 -1.28222110e-09] [-1.28222110e-09  2.08713164e-09]]"
0.18,0.14,"[[4.56654696e-09 9.36931448e-09] [9.36931448e-09 1.95416964e-08]]"
0.18,-0.14,"[[2.70406045e-09 2.18768149e-09] [2.18768149e-09 1.97998081e-09]]"
-0.18,0.25,"[[4.46124553e-09 4.37080175e-10] [4.37080175e-10 3.59612632e-09]]"
-0.18,-0.25,"[[ 7.18587115e-10 -1.08515810e-10] [-1.08515810e-10  5.25691506e-10]]"
-0.18,0.18,"[[3.99060338e-09 1.50292281e-09] [1.50292281e-09 2.72920733e-09]]"
-0.18,-0.18,"[[1.11586823e-09 4.58111761e-10] [4.58111761e-10 1.51091830e-09]]"
-0.18,0.23,"[[3.17576251e-09 1.52593189e-09] [1.52593189e-09 4.68814003e-09]]"
-0.18,-0.23,"[[1.03346727e-09 4.93934313e-10] [4.93934313e-10 3.50825963e-10]]"
-0.18,0.01,"[[1.12187667e-09 2.03759125e-10] [2.03759125e-10 1.24123532e-09]]"
-0.18,-0.01,"[[1.26379718e-09 4.42042146e-10] [4.42042146e-10 1.09525800e-09]]"
-0.18,0.08,"[[9.77371226e-10 5.06452770e-10] [5.06452770e-10 1.34899354e-09]]"
-0.18,-0.08,"[[1.25886799e-09 4.35395116e-10] [4.35395116e-10 1.82793705e-09]]"
-0.18,0.16,"[[1.40335890e-09 6.82655227e-10] [6.82655227e-10 2.40205013e-09]]"
-0.18,-0.16,"[[ 1.95168007e-09 -3.75291032e-10] [-3.75291032e-10  6.42575433e-10]]"
-0.18,0.05,"[[1.48138354e-09 3.62343732e-10] [3.62343732e-10 9.32189832e-10]]"
-0.18,-0.05,"[[1.53237938e-09 3.53825004e-10] [3.53825004e-10 1.15885356e-09]]"
-0.18,0.1,"[[2.37651245e-09 4.06265414e-10] [4.06265414e-10 1.08361917e-09]]"
-0.18,-0.1,"[[1.01827783e-09 3.06055004e-10] [3.06055004e-10 2.22104882e-09]]"
-0.18,0.03,"[[1.16687463e-09 2.17871297e-10] [2.17871297e-10 9.06370415e-10]]"
-0.18,-0.03,"[[1.36153711e-09 1.62562670e-10] [1.62562670e-10 1.33924368e-09]]"
-0.18,0.12,"[[1.40679173e-09 3.34662503e-10] [3.34662503e-10 1.50005791e-09]]"
-0.18,-0.12,"[[ 1.40664076e-09 -2.44874192e-10] [-2.44874192e-10  7.85861656e-10]]"
-0.18,0.21,"[[2.03190429e-09 9.09837436e-10] [9.09837436e-10 4.08198237e-09]]"
-0.18,-0.21,"[[1.36256992e-09 3.66671752e-10] [3.66671752e-10 6.89298990e-10]]"
-0.18,0.14,"[[2.33866079e-09 8.46236631e-10] [8.46236631e-10 1.44584690e-09]]"
-0.18,-0.14,"[[1.31427071e-09 3.77614502e-10] [3.77614502e-10 1.75330706e-09]]"
0.23,0.25,"[[9.27111177e-09 4.21657167e-09] [4.21657167e-09 4.53927435e-09]]"
0.23,-0.25,"[[ 3.01217489e-09 -6.35812399e-10] [-6.35812399e-10  4.87563651e-09]]"
0.23,0.18,"[[5.16916923e-09 5.07925715e-09] [5.07925715e-09 7.16792883e-09]]"
0.23,-0.18,"[[2.79308321e-09 1.88466998e-09] [1.88466998e-09 1.56033707e-09]]"
0.23,0.23,"[[7.44918866e-09 3.81239087e-09] [3.81239087e-09 4.72253248e-09]]"
0.23,-0.23,"[[3.58567896e-09 5.46985902e-10] [5.46985902e-10 3.51983702e-09]]"
0.23,0.01,"[[2.79049583e-09 8.45331968e-09] [8.45331968e-09 2.59869800e-08]]"
0.23,-0.01,"[[ 8.40945790e-09 -1.07890178e-07] [-1.07890178e-07  1.48824580e-06]]"
0.23,0.08,"[[4.21100109e-09 6.31691183e-09] [6.31691183e-09 9.54481816e-09]]"
0.23,-0.08,"[[ 1.71220142e-09 -4.97963463e-09] [-4.97963463e-09  1.45030358e-08]]"
0.23,0.16,"[[4.73917451e-09 5.94193778e-09] [5.94193778e-09 8.68993968e-09]]"
0.23,-0.16,"[[2.79331483e-09 3.71865619e-09] [3.71865619e-09 5.01878865e-09]]"
0.23,0.05,"[[3.62392133e-09 6.59556182e-09] [6.59556182e-09 1.22032279e-08]]"
0.23,-0.05,"[[ 2.45159037e-09 -8.16148670e-09] [-8.16148670e-09  2.75130008e-08]]"
0.23,0.1,"[[3.04508545e-09 5.05224519e-09] [5.05224519e-09 8.93285119e-09]]"
0.23,-0.1,"[[ 2.17908423e-09 -6.92638924e-09] [-6.92638924e-09  2.20212321e-08]]"
0.23,0.03,"[[2.48103829e-09 5.67939924e-09] [5.67939924e-09 1.36083787e-08]]"
0.23,-0.03,"[[ 2.76121450e-09 -1.68206502e-08] [-1.68206502e-08  1.02717246e-07]]"
0.23,0.12,"[[4.08832212e-09 5.99130065e-09] [5.99130065e-09 9.19328208e-09]]"
0.23,-0.12,"[[ 1.24189992e-09 -1.10743339e-08] [-1.10743339e-08  9.96792102e-08]]"
0.23,0.21,"[[8.92022140e-09 5.73757695e-09] [5.73757695e-09 5.51101487e-09]]"
0.23,-0.21,"[[2.04011743e-09 6.35354721e-10] [6.35354721e-10 2.23874431e-09]]"
0.23,0.14,"[[4.77862081e-09 6.70408113e-09] [6.70408113e-09 1.02747645e-08]]"
