x,y,popt_q,popt_u,pcov_q,pcov_u
0.25,0.25,"[0.06881366128754307, 1.0000159147808447, -0.006407689225613745, -0.06826105416798223, -0.0077786267046638284, 0.00411628507916613]","[-0.0021685917132864743, 0.17192612642605662, 1.1303699896267996, -0.011847013883338874, 0.011598622262265676, 0.011193030627857129]","[[7.735752362662203e-07, -2.4352988329410662e-08, -4.296225267183857e-09, -7.967048251016905e-07, -9.889183529685e-07, -2.922977985785046e-07], [-2.4352988329410666e-08, 3.368355877849029e-08, 6.377801466458533e-09, 2.4595060175655713e-08, 3.4146850336511135e-08, 1.0270989767202454e-08], [-4.296225267183863e-09, 6.377801466458533e-09, 4.275305924185524e-08, 5.246046297599326e-09, 5.878259518968913e-09, 1.0374780873007977e-08], [-7.967048251016907e-07, 2.4595060175655713e-08, 5.24604629759932e-09, 8.703684815988755e-07, 1.0002786539291296e-06, 3.2073594632000784e-07], [-9.889183529685003e-07, 3.4146850336511135e-08, 5.8782595189689105e-09, 1.0002786539291299e-06, 1.3448477124197341e-06, 3.97551584404314e-07], [-2.9229779857850476e-07, 1.0270989767202459e-08, 1.0374780873007977e-08, 3.2073594632000805e-07, 3.975515844043141e-07, 2.889153472193929e-07]]"
0.25,-0.25,"[0.04000087956371595, 1.0021382622144865, 0.0061923482475595695, -0.040480814489708, -0.00594378132043433, -0.006139921852468814]","[-0.037454669961068165, 0.004003799235083495, 1.033240201590218, 0.0003032634712263239, 0.03734064199785215, 0.0015053041459501704]","[[1.017134140642314e-06, -1.52703391745949e-08, 2.4396641245912208e-08, -1.0205722602206084e-06, -1.0874865228650318e-06, -1.9933257777161e-08], [-1.52703391745949e-08, 4.195081750347897e-08, -1.4585234411747862e-10, 1.3821808691445682e-08, 1.83691837322804e-08, -5.343770905194901e-09], [2.4396641245912205e-08, -1.458523441174786e-10, 4.676812158706541e-08, -2.5835841393662787e-08, -2.7679295409964966e-08, 4.371663148946102e-09], [-1.0205722602206082e-06, 1.3821808691445678e-08, -2.5835841393662794e-08, 1.0852086527602104e-06, 1.069556040052012e-06, 2.1052194995122677e-08], [-1.0874865228650318e-06, 1.8369183732280397e-08, -2.7679295409964966e-08, 1.0695560400520121e-06, 1.235846501314792e-06, 2.2593956189819623e-08], [-1.9933257777161e-08, -5.3437709051949005e-09, 4.371663148946102e-09, 2.105219499512268e-08, 2.2593956189819623e-08, 1.86635195153085e-07]]"
0.25,0.18,"[0.05664592595768345, 0.9999096468134098, -0.004265962264771126, -0.056268945152342396, -0.007657458315579284, -0.0006735236971545951]","[0.009705031183304118, 0.37587436604742885, 1.148255654347308, -0.02181827828589653, 0.009654021139997183, 0.010324927807374502]","[[7.531469622347183e-07, -2.3450384484577532e-08, -1.6872582063189195e-08, -8.594561486577666e-07, -9.934149534223135e-07, -6.468326082121712e-07], [-2.3450384484577525e-08, 3.610981114467215e-08, 1.4318147011340942e-08, 2.6592151117046086e-08, 3.409152973852315e-08, 2.366184443762746e-08], [-1.6872582063189185e-08, 1.4318147011340939e-08, 4.2879887768402863e-08, 2.092925225096261e-08, 2.4347304814560312e-08, 2.26577001566874e-08], [-8.594561486577666e-07, 2.6592151117046086e-08, 2.092925225096262e-08, 1.0406764169066834e-06, 1.1225823538505785e-06, 7.859947548310952e-07], [-9.934149534223135e-07, 3.409152973852315e-08, 2.4347304814560325e-08, 1.1225823538505787e-06, 1.3932567687599454e-06, 9.073940349972027e-07], [-6.46832608212171e-07, 2.3661844437627454e-08, 2.26577001566874e-08, 7.85994754831095e-07, 9.073940349972023e-07, 7.614402213877639e-07]]"
0.25,-0.18,"[0.03545128591894132, 1.0058000079973137, 0.013915677264491952, -0.04462215925951863, -0.05687929222760674, -0.046268836577967674]","[-0.05596713038689337, 0.9495045391138938, 3.176611917985674, -0.04109171721895913, 0.050722158174998616, -0.018664519814216622]","[[1.3091387410131806e-06, 1.4142981483178914e-07, 4.96076098693799e-07, -2.514251074049532e-06, -1.3291954545919069e-05, -7.983170636706236e-06], [1.414298148317891e-07, 1.212752394752393e-07, 2.2570542210577863e-07, -2.9867199482557114e-07, -1.5415397864765245e-06, -9.723488278155563e-07], [4.960760986937991e-07, 2.2570542210577868e-07, 7.675346860309393e-07, -9.854381941266644e-07, -5.44523269593154e-06, -3.2362189792512613e-06], [-2.5142510740495315e-06, -2.986719948255712e-07, -9.85438194126664e-07, 5.131498247925486e-06, 2.6035318183667006e-05, 1.6310993151544116e-05], [-1.3291954545919072e-05, -1.5415397864765252e-06, -5.44523269593154e-06, 2.6035318183667016e-05, 0.00014346762436768032, 8.616632288750718e-05], [-7.983170636706235e-06, -9.723488278155565e-07, -3.23621897925126e-06, 1.6310993151544116e-05, 8.616632288750717e-05, 5.400718832865548e-05]]"
0.25,0.23,"[0.0648060545472649, 0.9999169953492922, -0.005799562666042946, -0.06442860060518668, -0.007105878450091937, 0.0027422075734754516]","[0.0011097931017856593, 0.21629613895346034, 1.123519055220959, -0.014469547027067502, 0.010576710241626252, 0.011031929450604785]","[[5.925020403723141e-07, -1.8131804216417818e-08, -5.740399775020494e-09, -6.201964622548384e-07, -7.478609395031991e-07, -2.821937607144991e-07], [-1.813180421641782e-08, 2.6129547591073498e-08, 6.204959083306403e-09, 1.8604241965733914e-08, 2.5134759811726304e-08, 9.87166288437369e-09], [-5.740399775020497e-09, 6.204959083306403e-09, 3.2260555375607616e-08, 6.771780719440078e-09, 7.865141840583408e-09, 9.090982251140026e-09], [-6.201964622548384e-07, 1.8604241965733914e-08, 6.771780719440076e-09, 6.886112295988896e-07, 7.699022878704312e-07, 3.146638383805575e-07], [-7.478609395031991e-07, 2.5134759811726304e-08, 7.865141840583407e-09, 7.699022878704312e-07, 1.0040072696325096e-06, 3.789172788975351e-07], [-2.821937607144992e-07, 9.871662884373692e-09, 9.090982251140026e-09, 3.1466383838055765e-07, 3.789172788975352e-07, 2.722261692150752e-07]]"
0.25,-0.23,"[0.03854259625548154, 1.0019309294075376, 0.006668637874369756, -0.03934017489055758, -0.007976261084637427, -0.0062542191250200725]","[-0.03833676744773785, 0.05383349842492912, 1.179348033491013, -0.001670169105185237, 0.0400740713888522, 0.003636957190100611]","[[1.4085784543207493e-06, -1.6609988730891728e-08, 5.8443257197119187e-08, -1.4178016139498912e-06, -1.965050892634956e-06, -1.9705614728791231e-07], [-1.660998873089172e-08, 5.8026699521377956e-08, 3.099559552480888e-09, 1.4128507377782952e-08, 2.640899246524228e-08, -6.985372545830902e-09], [5.8443257197119187e-08, 3.099559552480887e-09, 8.568854012774553e-08, -6.040528156418634e-08, -8.734180190603477e-08, -6.035768811422241e-10], [-1.4178016139498912e-06, 1.4128507377782947e-08, -6.040528156418635e-08, 1.5121532820590387e-06, 1.9394398744432706e-06, 2.1077523976684095e-07], [-1.965050892634956e-06, 2.6408992465242285e-08, -8.734180190603478e-08, 1.939439874443271e-06, 2.9133024193654656e-06, 2.9202330845238936e-07], [-1.970561472879124e-07, -6.9853725458309e-09, -6.035768811422276e-10, 2.1077523976684103e-07, 2.920233084523894e-07, 3.6423304320515493e-07]]"
0.25,0.01,"[0.03766394104770968, 0.9981427129711489, -0.0030270703143827743, -0.11108229126700496, -0.0813439937476816, -0.1544728041181539]","[0.10307683757997976, 3.7413054955065044, 3.9683901294645496, -0.23059891231590224, -0.08699899084952505, -0.2110413574852127]","[[1.1880188769198998e-06, -6.341716024427914e-07, -6.62072544154876e-07, -1.798872390381627e-05, -1.887231699980088e-05, -3.561327191280637e-05], [-6.341716024427989e-07, 1.1847152222808605e-06, 1.194918716119978e-06, 1.0571704784146897e-05, 1.1101935428527685e-05, 2.1025232588553915e-05], [-6.620725441548828e-07, 1.1949187161199773e-06, 1.2598768508275422e-06, 1.1010974819637536e-05, 1.1576369621303309e-05, 2.1908005746389012e-05], [-1.7988723903816422e-05, 1.0571704784146899e-05, 1.1010974819637546e-05, 0.0002907678254468673, 0.000303358846982357, 0.0005756429164459092], [-1.887231699980091e-05, 1.1101935428527582e-05, 1.1576369621303214e-05, 0.00030335884698235425, 0.0003199808914388691, 0.0006038576485206774], [-3.561327191280652e-05, 2.102523258855383e-05, 2.1908005746388938e-05, 0.0005756429164459067, 0.0006038576485206804, 0.001142929536150566]]"
0.25,-0.01,"[0.03547432626416704, 0.9943447811751809, -0.007129549203351272, -0.29174089690099464, -0.26810845322917515, -0.5239889500087201]","[0.19993484070669923, 7.806683492237959, 8.011040380009252, -1.008782560646113, -0.7868377092049105, -1.592615099294856]","[[1.161590611321602e-06, -2.5034970066232902e-06, -2.5570892009938003e-06, -7.328003645046338e-05, -7.585935060124515e-05, -0.00014792394887585915], [-2.5034970066233012e-06, 1.011496709244713e-05, 1.028457430886309e-05, 0.0001772270484852986, 0.00018345010178555832, 0.00035812379571214446], [-2.557089200993821e-06, 1.0284574308863114e-05, 1.0519039973740334e-05, 0.00018088192791576452, 0.00018731392969489194, 0.0003655839429025245], [-7.328003645046407e-05, 0.000177227048485299, 0.0001808819279157645, 0.005002667336820273, 0.0051707271346210565, 0.010098600089317716], [-7.585935060124555e-05, 0.00018345010178555835, 0.00018731392969489156, 0.005170727134621056, 0.005360629981895434, 0.010453638044514062], [-0.00014792394887585959, 0.000358123795712144, 0.0003655839429025232, 0.010098600089317716, 0.010453638044514062, 0.020401091573368044]]"
0.25,0.08,"[0.043917536566580685, 0.9997785400474315, -0.002224426898044925, -0.05027374678038898, -0.014804020437430723, -0.01951485865606281]","[0.03544403662647311, 1.128215805566788, 1.583808575365082, -0.05097834390835021, 0.00888092765395987, 0.0012538678585930496]","[[1.1821048466889007e-06, -8.450178770235336e-08, -9.666983086474287e-08, -2.6975928647936468e-06, -2.9758837011771407e-06, -4.247928709073522e-06], [-8.450178770235341e-08, 1.1930157110096707e-07, 9.779816699574393e-08, 2.0722491419088238e-07, 2.346463965575009e-07, 3.443964446627722e-07], [-9.666983086474293e-08, 9.779816699574393e-08, 1.3529706048692105e-07, 2.3874360122198655e-07, 2.666835092323174e-07, 3.934788385051951e-07], [-2.6975928647936468e-06, 2.0722491419088225e-07, 2.3874360122198634e-07, 6.545925781118886e-06, 6.973791727348139e-06, 1.0315178437986956e-05], [-2.9758837011771402e-06, 2.3464639655750086e-07, 2.666835092323173e-07, 6.973791727348142e-06, 7.965580069782854e-06, 1.1372150415550436e-05], [-4.247928709073521e-06, 3.4439644466277216e-07, 3.93478838505195e-07, 1.031517843798696e-05, 1.1372150415550436e-05, 1.6741672955271374e-05]]"
0.25,-0.08,"[0.03403066096512594, 0.9944214854080509, -0.007970171511340784, -0.12724853725008153, -0.12580129659141948, -0.21665424933150695]","[-0.0687257176915765, -4.272520241045728, -4.813538196261799, 0.22903205408146335, 0.027080536441254886, 0.1779949193822073]","[[1.5910853578337248e-06, -5.950198253378488e-07, -6.714179927848484e-07, -3.077831736058442e-05, -3.702153145658058e-05, -6.574668917781019e-05], [-5.950198253378536e-07, 1.5919715322031522e-06, 1.7181634772053562e-06, 1.26552768765231e-05, 1.527234775961422e-05, 2.716886246560924e-05], [-6.714179927848589e-07, 1.7181634772053558e-06, 1.9359204741613114e-06, 1.4252254030304982e-05, 1.7193087645315616e-05, 3.058735314405876e-05], [-3.077831736058501e-05, 1.2655276876523209e-05, 1.4252254030305094e-05, 0.0006344121264977204, 0.0007598336472388743, 0.0013551417725767509], [-3.7021531456580645e-05, 1.5272347759614165e-05, 1.7193087645315538e-05, 0.000759833647238863, 0.0009177488104793416, 0.0016298812235466598], [-6.574668917781078e-05, 2.7168862465609345e-05, 3.058735314405886e-05, 0.0013551417725767413, 0.0016298812235466722, 0.0029010378009135815]]"
